rank,resnorm,rsh_ohm,ra_ohm,ca_microf,rb_ohm,cb_microf,frequency_hz,real_ohm,imag_ohm,magnitude_ohm,phase_deg
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,1.0,19.960079822769586,-0.0005918571815303955,19.960079831544473,-0.0016989370216634672
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,1.6237767391887217,19.96007979404673,-0.000961043922907896,19.960079817183047,-0.002758694415800435
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,2.636650898730358,19.960079718314585,-0.0015605207614356239,19.96007977931697,-0.004479503817241219
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,4.281332398719393,19.960079518635364,-0.0025339372880909096,19.960079679477364,-0.007273714077288139
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,6.951927961775605,19.960078992150983,-0.004114548318436068,19.960079416235168,-0.01181088762236529
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,11.28837891684689,19.96007760399559,-0.006681107387096303,19.96007872215744,-0.019178244145774914
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,18.329807108324356,19.960073943915376,-0.010848624777875794,19.96007689211715,-0.031141184838937852
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,29.76351441631318,19.96006429356801,-0.017615736049596105,19.96007206694217,-0.05056632342292897
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,48.32930238571752,19.960038849015685,-0.028603985977385026,19.960059344657,-0.08210838487055716
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,78.47599703514611,19.95997176092496,-0.04644633096593004,19.96002580054901,-0.13332553607037056
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,127.42749857031335,19.95979487521237,-0.07541780348296726,19.959937357257317,-0.21649026469247376
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,206.913808111479,19.95932850436966,-0.12245881363651294,19.959704168809232,-0.35152911813028603
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,335.9818286283781,19.95809895174834,-0.19883352361431092,19.959089371459086,-0.570793083741726
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,545.5594781168514,19.954857776883795,-0.32280881827884367,19.957468637801195,-0.926790355694557
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,885.8667904100823,19.946316975181855,-0.5239451025817163,19.95319722112091,-1.5046858751871277
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,1438.449888287663,19.923832874387283,-0.8498108562699425,19.94194812193507,-2.4423553808096976
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,2335.7214690901214,19.86479244998906,-1.3758140252273892,19.91237914748398,-3.9619169222139017
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,3792.690190732246,19.710788024992972,-2.2166953169671406,19.835042291219608,-6.416581217490377
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,6158.48211066026,19.315950979168168,-3.527316473789095,19.63537429579308,-10.348844435823272
1,3.4501723431870426,10000.0,10.0,0.4728708045015879,10.0,0.4728708045015879,10000.0,18.346936861497095,-5.440241941404757,19.13651808926536,-16.51616711315779
2,3.5686022193918894,10000.0,10.0,0.09999999999999999,10.0,0.4728708045015879,1.0,19.960079831146594,-0.0003585098683984855,19.960079834366255,-0.0010291092292507578
2,3.5686022193918894,10000.0,10.0,0.09999999999999999,10.0,0.4728708045015879,1.6237767391887217,19.96007981613397,-0.0005821399843760102,19.960079824623087,-0.001671043627497891
2,3.5686022193918894,10000.0,10.0,0.09999999999999999,10.0,0.4728708045015879,2.636650898730358,19.960079776550938,-0.0009452653625885429,19.96007979893378,-0.0027134017680312383
2,3.5686022193918894,10000.0,10.0,0.09999999999999999,10.0,0.4728708045015879,4.281332398719393,19.960079672184282,-0.00153489989531843,19.96007973120002,-0.004405958655867769
2,3.5686022193918894,10000.0,10.0,0.09999999999999999,10.0,0.4728708045015879,6.951927961775605,19.960079397005867,-0.002492334692141827,19.960079552609763,-0.0071542930973023935
2,3.5686022193918894,10000.0,10.0,0.09999999999999999,10.0,0.4728708045015879,11.28837891684689,19.96007867145651,-0.004046994864501494,19.960079081729624,-0.011616974365998945
2,3.5686022193918894,10000.0,10.0,0.09999999999999999,10.0,0.4728708045015879,18.329807108324356,19.960076758436617,-0.00657141511903107,19.960077840183345,-0.018863371253630242
2,3.5686022193918894,10000.0,10.0,0.09999999999999999,10.0,0.4728708045015879,29.76351441631318,19.96007171447424,-0.010670506708690568,19.960074566661017,-0.03062989703534973
2,3.5686022193918894,10000.0,10.0,0.09999999999999999,10.0,0.4728708045015879,48.32930238571752,19.96005841532875,-0.017326502157203622,19.960065935537713,-0.049736086805196145
2,3.5686022193918894,10000.0,10.0,0.09999999999999999,10.0,0.4728708045015879,78.47599703514611,19.96002335028106,-0.028134292262390927,19.960043178364273,-0.08076018301118301
2,3.5686022193918894,10000.0,10.0,0.09999999999999999,10.0,0.4728708045015879,127.42749857031335,19.959930897077445,-0.04568347150489367,19.959983176237287,-0.13113600211245593
