variation_id,direction_rank,sensitivity,interpretation,spectral_effect,Rsh_component,Ra_component,Ca_component,Rb_component,Cb_component
variation_000,1,147029.4965583512,Primary: Cb (100.0%),Low-frequency magnitude,-5.146708303613994e-06,1.4761525333698492e-12,1.4293637786643514e-10,-1.2212166098281876e-06,-0.9999999999860101
variation_000,2,3.6129244318011726,Primary: Rsh (95.5%),Mid-frequency phase,0.9548376577849074,1.0397167859353712e-08,1.0089124608048302e-06,0.29712799808662643,-5.277128548362913e-06
variation_000,3,0.18966613035501145,Primary: Rb (95.5%),High-frequency behavior,-0.2971279980770515,-6.533782935075563e-08,-6.316602811123463e-06,0.9548376577820381,3.631675266686014e-07
variation_001,1,119385.88346164775,Primary: Cb (100.0%),Low-frequency magnitude,-6.481866707796989e-06,1.2048140261588519e-12,9.762321322012023e-11,-1.2034255723962776e-06,-0.9999999999782687
variation_001,2,3.9521286987674333,Primary: Rsh (97.3%),Mid-frequency phase,0.9734508539147553,5.933776191983941e-09,4.816476894378996e-07,0.22889612266055742,-6.585238129194696e-06
variation_001,3,0.1372738262805151,Primary: Rb (97.3%),High-frequency behavior,-0.22889612265922862,-5.460227344854313e-08,-4.417979314953579e-06,0.9734508539273837,3.121985054968778e-07
variation_002,1,155868.29021823392,Primary: Cb (100.0%),Low-frequency magnitude,-4.436102798587112e-06,1.7154055950577771e-12,1.7165621999031125e-10,-1.4359559958708344e-06,-0.9999999999891293
variation_002,2,3.406775379476452,Primary: Rsh (91.9%),Mid-frequency phase,0.9188963957510956,1.338383246585466e-08,1.342007303060611e-06,0.39449894024228876,-4.642801991228732e-06
variation_002,3,0.20003857264742006,Primary: Rb (91.9%),High-frequency behavior,-0.39449894022358833,-7.763415851624982e-08,-7.75644690682687e-06,0.9188963957389932,4.3054306239308007e-07
variation_003,1,109064.87221913601,Primary: Cb (100.0%),Low-frequency magnitude,-5.154855112705384e-06,2.5925928050518262e-12,2.857165138324568e-10,-2.022059677989984e-06,-0.9999999999846694
variation_003,2,3.6240173522438086,Primary: Rsh (89.5%),Mid-frequency phase,0.8950663449192799,1.0549904347852886e-08,1.1660948430981084e-06,0.44593299738980824,-5.515640457176194e-06
variation_003,3,0.10020846595975268,Primary: Rb (89.5%),High-frequency behavior,-0.44593299733775127,-1.2527368069059074e-07,-1.3773133267835149e-05,0.8950663448568578,4.888424222615758e-07
variation_004,1,170975.11787265918,Primary: Cb (100.0%),Low-frequency magnitude,-4.524938280098217e-06,1.1138867605266455e-12,9.17982834597315e-11,-1.0076205750531461e-06,-0.9999999999892548
variation_004,2,3.536554240771075,Primary: Rsh (95.8%),Mid-frequency phase,0.9582648084906209,9.660306278439126e-09,7.974388672118263e-07,0.28588206796931975,-4.624149768111309e-06
variation_004,3,0.22391090857993606,Primary: Rb (95.8%),High-frequency behavior,-0.2858820679653179,-5.0701758429524474e-08,-4.173703773112665e-06,0.9582648084941573,3.280313751621587e-07
variation_005,1,136144.2698826262,Primary: Cb (100.0%),Low-frequency magnitude,-6.103506998445756e-06,1.5613066393947828e-12,1.569834268564881e-10,-1.1982834885768234e-06,-0.9999999999806559
variation_005,2,3.653387486931352,Primary: Rsh (96.8%),Mid-frequency phase,0.9677397503563389,1.084991142123678e-08,1.093103201154613e-06,0.2519519310116726,-6.208516177768865e-06
variation_005,3,0.20762442534815373,Primary: Rb (96.8%),High-frequency behavior,-0.2519519310027227,-6.274160339119131e-08,-6.300251285057429e-06,0.9677397503586176,3.7816380907102873e-07
variation_006,1,129357.80178832429,Primary: Cb (100.0%),Low-frequency magnitude,-6.916812817613655e-06,1.6961987369224236e-12,2.0302224836152667e-10,-1.0177549713918015e-06,-0.9999999999755612
variation_006,2,3.8342860345797085,Primary: Rsh (98.1%),Mid-frequency phase,0.9814318050881924,1.0959311862595545e-08,1.314599657050619e-06,0.19181139671779981,-6.9835970915306145e-06
variation_006,3,0.20108526669767252,Primary: Rb (98.1%),High-frequency behavior,-0.19181139670371689,-6.755651075020841e-08,-8.07343121764065e-06,0.9814318050834082,3.278664269478051e-07
variation_007,1,131097.21159695816,Primary: Cb (100.0%),Low-frequency magnitude,-3.937691930884647e-06,2.6556534729809174e-12,3.360966218011202e-10,-1.7294643279729543e-06,-0.9999999999907521
variation_007,2,3.5758140854298053,Primary: Rsh (87.2%),Mid-frequency phase,0.8717893546049734,1.2473023612613415e-08,1.5842269595286594e-06,0.48988092550804146,-4.280069492186765e-06
variation_007,3,0.09987137917588737,Primary: Rb (87.2%),High-frequency behavior,-0.4898809254010353,-1.4740630190133628e-07,-1.860547271145863e-05,0.8717893544783984,4.2127157071929476e-07
variation_008,1,183941.5187859778,Primary: Cb (100.0%),Low-frequency magnitude,-4.923120456620014e-06,9.132694600380323e-13,7.538522627862866e-11,-6.030814285658559e-07,-0.9999999999876996
variation_008,2,3.635040508890397,Primary: Rsh (98.5%),Mid-frequency phase,0.9849006065598126,9.30631247154214e-09,7.693638985580023e-07,0.17312075315509443,-4.953190235022188e-06
variation_008,3,0.28033213400278434,Primary: Rb (98.5%),High-frequency behavior,-0.17312075315262898,-3.938450213970021e-08,-3.24763514990527e-06,0.9849006065676129,2.583190562653064e-07
variation_009,1,150810.14866384663,Primary: Cb (100.0%),Low-frequency magnitude,-4.5268230359963905e-06,1.241118319019454e-12,1.0303342242297288e-10,-1.2177493194567793e-06,-0.9999999999890125
variation_009,2,3.66029783730084,Primary: Rsh (94.5%),Mid-frequency phase,0.9447931960296095,7.978422450362092e-09,6.635266801299189e-07,0.3276672347273237,-4.675928156119968e-06
variation_009,3,0.15522571340530927,Primary: Rb (94.5%),High-frequency behavior,-0.32766723472202725,-6.153922068470443e-08,-5.101242019912031e-06,0.9447931960294184,3.3277031426665996e-07
variation_010,1,160956.23742885215,Primary: Cb (100.0%),Low-frequency magnitude,-5.044135739443157e-06,1.1329825965625738e-12,1.0096375235420742e-10,-9.203559907798583e-07,-0.9999999999868548
variation_010,2,3.7015191175450344,Primary: Rsh (97.2%),Mid-frequency phase,0.971848938999565,8.861675983984885e-09,7.910665005546871e-07,0.23560483810522756,-5.1189782907419046e-06
variation_010,3,0.20802067139322122,Primary: Rb (97.2%),High-frequency behavior,-0.23560483810093072,-5.141785754446547e-08,-4.57557256870574e-06,0.971848939003593,2.939757906474565e-07
variation_011,1,127892.75295751366,Primary: Cb (100.0%),Low-frequency magnitude,-5.493909293028735e-06,1.3756773495556858e-12,1.2562041915488674e-10,-1.2290766504871287e-06,-0.9999999999841532
