frequency,real,imaginary,magnitude,phase,variation_id
15.000000000000004,12.926094952788421,-0.42416015555748426,12.933052329827822,-1.8794438431068714,variation_000
15.157193137523715,12.925802168685117,-0.4285933170378317,12.932905858135454,-1.8991157546033728,variation_000
15.316033587213061,12.925503229627106,-0.43307265029723746,12.932756305580655,-1.9189934617779443,variation_000
15.476538612145891,12.925198006517958,-0.4375986292080869,12.932603607471334,-1.9390791058212917,variation_000
15.638725656309228,12.924886367566048,-0.4421717323024551,12.932447697761704,-1.9593748499159136,variation_000
15.802612346495081,12.924568178228782,-0.44679244281117564,12.932288509024117,-1.979882879451978,variation_000
15.96821649421618,12.924243301155766,-0.4514612487030168,12.932125972420396,-2.000605402245018,variation_000
16.135556097641754,12.923911596130761,-0.45617864272395137,12.93196001767252,-2.021544648755433,variation_000
16.30464934355363,12.923572920012509,-0.4609451224365146,12.931790573032748,-2.0427028723098064,variation_000
16.475514609322772,12.923227126674325,-0.46576119025923746,12.931617565253113,-2.0640823493240386,variation_000
16.64817046490658,12.922874066942494,-0.47062735350615137,12.931440919554287,-2.0856853795283135,variation_000
16.822635674867122,12.922513588533434,-0.47554412442634875,12.93126055959386,-2.107514286193881,variation_000
16.9989292004105,12.922145535989536,-0.480512020243592,12.93107640743387,-2.129571416361677,variation_000
17.177070201447563,12.92176975061379,-0.48553156319595786,12.930888383507805,-2.151859141072758,variation_000
17.35707803867627,12.921386070403036,-0.49060328057551,12.930696406586812,-2.1743798556005878,variation_000
17.538972275685822,12.920994329979907,-0.4957277047679814,12.930500393745302,-2.197135979685138,variation_000
17.72277268108292,12.920594360523367,-0.5009053732924622,12.9303002603258,-2.2201299577688425,variation_000
17.908499230640178,12.9201859896979,-0.5061368288410716,12.930095919903117,-2.2433642592343594,variation_000
18.096172109467197,12.919769041581254,-0.5114226193186071,12.929887284247767,-2.2668413786441834,variation_000
18.28581171420427,12.91934333659075,-0.5167632978821552,12.929674263288685,-2.2905638359820806,variation_000
18.477438655239176,12.918908691408095,-0.522159422980648,12.929456765075132,-2.314534176896359,variation_000
18.671073758947106,12.918464918902725,-0.5276115583943504,12.929234695737861,-2.3387549729449533,variation_000
18.866738069954142,12.918011828053594,-0.5331202732742648,12.929007959449502,-2.36322882184234,variation_000
19.064452853424406,12.917549223869432,-0.5386861421814342,12.928776458384144,-2.387958347708259,variation_000
19.264239597371247,12.917076907307369,-0.544309745126131,12.92854009267607,-2.412946201318277,variation_000
19.466120014992534,12.916594675189991,-0.5499916676069054,12.928298760377695,-2.4381950603561133,variation_000
19.67011604703052,12.916102320120736,-0.5557325006494863,12.928052357416657,-2.4637076296677995,variation_000
